,model,reaction_id,num_candidates,max_match,mean_match_score,med_match_score,min_match_score,max_match_score,var_match_score,accuracy
0,BIOMD0000000152.xml,vcat1,65,1,0.2502625152625152,0.2,0.1111111111111111,1.0,0.022159448596444937,0
1,BIOMD0000000152.xml,vcat2,53,1,0.23310871518418685,0.2,0.14285714285714285,1.0,0.015748783671531978,0
2,BIOMD0000000152.xml,vcat3,54,2,0.36027336860670184,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.007730009813710578,0
3,BIOMD0000000152.xml,vcat4,89,1,0.2586186909220617,0.25,0.1111111111111111,1.0,0.02427130835875523,0
4,BIOMD0000000152.xml,vcat5,188,1,0.21410418777440057,0.2,0.1,1.0,0.009475975930796176,0
5,BIOMD0000000152.xml,vcat6,6,3,0.6333333333333333,0.6,0.5,0.75,0.008055555555555557,0
6,BIOMD0000000152.xml,vcat7,61,1,0.2463700234192037,0.2,0.14285714285714285,1.0,0.024513141994233878,0
7,BIOMD0000000152.xml,vcat8,2,3,0.38095238095238093,0.38095238095238093,0.3333333333333333,0.42857142857142855,0.0022675736961451243,0
8,BIOMD0000000152.xml,vcat9,1,3,0.6,0.6,0.6,0.6,0.0,0
9,BIOMD0000000152.xml,vcat10,19,3,0.5481203007518797,0.6,0.42857142857142855,0.6,0.0050743399853016005,0
10,BIOMD0000000152.xml,vcat11,39,2,0.36715506715506724,0.3333333333333333,0.2857142857142857,0.6666666666666666,0.003956968279312604,0
11,BIOMD0000000152.xml,vcat12,45,2,0.36370370370370364,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.008574407211444248,0
12,BIOMD0000000152.xml,vcat13,1,3,0.6,0.6,0.6,0.6,0.0,0
13,BIOMD0000000152.xml,vcat14,61,1,0.2370804059328649,0.2,0.14285714285714285,1.0,0.013576160554699351,0
14,BIOMD0000000152.xml,vcat18,1,2,0.5,0.5,0.5,0.5,0.0,0
15,BIOMD0000000152.xml,vcat21,31,2,0.3662570404505889,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.00864310791569104,0
16,BIOMD0000000152.xml,vcat17,17,1,0.23529411764705882,0.25,0.2,0.25,0.0005190311418685119,0
17,BIOMD0000000152.xml,vcat19,175,1,0.2981836734693878,0.25,0.125,1.0,0.0446556497755565,0
18,BIOMD0000000152.xml,vcat27,14,1,0.2285714285714286,0.25,0.16666666666666666,0.25,0.001207482993197279,0
19,BIOMD0000000152.xml,vcat15,93,1,0.2423067076292883,0.25,0.125,0.3333333333333333,0.0027621290548053333,0
20,BIOMD0000000152.xml,vcat22,18,1,0.21673280423280422,0.225,0.125,0.3333333333333333,0.002497869775482209,0
21,BIOMD0000000152.xml,vcat25,214,1,0.21733607773327404,0.2,0.1,1.0,0.00893132055509969,0
22,BIOMD0000000152.xml,vcat16,19,2,0.4290726817042606,0.4,0.2857142857142857,0.5,0.004520574619506159,0
23,BIOMD0000000152.xml,vcat23,13,2,0.42710622710622714,0.4,0.2857142857142857,0.5,0.005569107327349086,0
24,BIOMD0000000152.xml,vcat26,19,2,0.41620718462823725,0.4,0.2222222222222222,0.5,0.007000458539833293,0
25,BIOMD0000000152.xml,vcat20,2,2,0.4,0.4,0.4,0.4,0.0,0
26,BIOMD0000000152.xml,vcat24,176,1,0.2985051406926407,0.25,0.125,1.0,0.04400256949532138,0
27,BIOMD0000000152.xml,vcat28,9,1,0.25,0.25,0.25,0.25,0.0,0
28,BIOMD0000000152.xml,vcat29,55,1,0.23415584415584412,0.2,0.14285714285714285,1.0,0.015117546522741323,0
29,BIOMD0000000152.xml,vcat30,104,2,0.3690552503052503,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.006719982450436894,0
30,BIOMD0000000152.xml,vcat31,38,2,0.3971595655806182,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.014945718515168455,0
31,BIOMD0000000152.xml,vcat32,2,3,0.6,0.6,0.6,0.6,0.0,0
32,BIOMD0000000152.xml,vcat33,1,3,0.75,0.75,0.75,0.75,0.0,0
33,BIOMD0000000152.xml,vcat34,12,2,0.43888888888888894,0.45,0.3333333333333333,0.5,0.004228395061728394,0
34,BIOMD0000000191.xml,Arginase,7,2,0.5571428571428572,0.5,0.4,1.0,0.03387755102040817,1
35,BIOMD0000000191.xml,NOS,71,1,0.22440196735971377,0.16666666666666666,0.1111111111111111,1.0,0.02339920862582655,1
36,BIOMD0000000191.xml,ODC,68,1,0.254750233426704,0.25,0.1111111111111111,1.0,0.02106576876393259,1
37,BIOMD0000000218.xml,CS,2,3,0.4642857142857143,0.4642857142857143,0.42857142857142855,0.5,0.0012755102040816336,1
38,BIOMD0000000218.xml,ACN,15,2,0.5711111111111111,0.5,0.4,0.6666666666666666,0.008572839506172835,0
39,BIOMD0000000218.xml,ICD1,37,2,0.47052767052767047,0.5,0.2857142857142857,0.6666666666666666,0.01493637045760598,0
40,BIOMD0000000218.xml,ICD2,37,2,0.47052767052767047,0.5,0.2857142857142857,0.6666666666666666,0.01493637045760598,0
